"authors_full","classe"
"provinciacuneo","Institution"
"PiemonteInforma","Institution"
"AnpasPiemonte","Institution"
"twitorino","Institution"
"italia_sicura","Institution"
"PCPontestura","Institution"
"PCProvAL","Institution"
"sfmtorino","Institution"
"CastellanetaTW","Institution"
"PNGranParadiso","Institution"
"ProCivTrezzanoR","Institution"
"Comune_Saluzzo","Institution"
"comunedianom","Institution"
"ComunediManta","Institution"
"ComuneMontelupo","Institution"
"cvpc_cinisello","Institution"
"muoversintoscan","Institution"
"PCFonteno","Institution"
"PROCIVMFlavio","Institution"
"ProCivRozzano","Institution"
"ProvinciaVC","Institution"
"regionepiemonte","Institution"
"ConfagriAL","Institution"

